pre,post,class_1,class_2,cluster_1,cluster_2,layer_1,layer_2,synapse_class,total_contacts,L1-0,L1-5,L1-8,L1-16,L2,L3,L4-JSH,Adult-50,Adult-N2U
AVKL,RMDL,AVK,RMD,Lateral,Unclassified,3,3,2,13,1,2,0,1,2,2,1,2,2
RMDL,AVKL,AVK,RMD,Unclassified,Lateral,3,3,1,2,0,0,0,0,0,0,1,0,1
AIBL,RIGR,AIB,RIG,Taxis,Lateral,3,3,1,6,0,0,1,0,0,0,1,2,2
RIGR,AIBL,AIB,RIG,Lateral,Taxis,3,3,2,13,1,1,1,2,2,1,1,2,2
AIBL,AWCL,AIB,AWC,Taxis,Taxis,3,1,1,2,0,0,0,0,0,0,1,0,1
AWCL,AIBL,AIB,AWC,Taxis,Taxis,1,3,3,18,2,2,2,2,2,2,2,2,2
AIBL,ASIL,AIB,ASI,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ASIL,AIBL,AIB,ASI,Taxis,Taxis,1,3,2,11,1,0,0,1,1,2,2,2,2
AIBL,PVT,AIB,PVT,Taxis,Lateral,3,2,0,0,0,0,0,0,0,0,0,0,0
PVT,AIBL,AIB,PVT,Lateral,Taxis,2,3,2,14,1,0,2,2,2,2,1,2,2
AIBL,DVC,AIB,DVC,Taxis,Lateral,3,3,1,2,0,0,0,0,0,0,2,0,0
DVC,AIBL,AIB,DVC,Lateral,Taxis,3,3,3,16,1,1,2,2,2,2,2,2,2
AIBL,AWCR,AIB,AWC,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
AWCR,AIBL,AIB,AWC,Taxis,Taxis,1,3,3,18,2,2,2,2,2,2,2,2,2
AIBL,SMBDR,AIB,SMB,Taxis,Sublateral,3,3,1,1,0,0,0,0,1,0,0,0,0
SMBDR,AIBL,AIB,SMB,Sublateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AIBL,ASER,AIB,ASE,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ASER,AIBL,AIB,ASE,Taxis,Taxis,1,3,3,16,2,2,2,1,2,2,1,2,2
AIBL,AIYL,AIB,AIY,Taxis,Taxis,3,2,1,2,0,0,0,0,0,0,0,1,1
AIYL,AIBL,AIB,AIY,Taxis,Taxis,2,3,1,3,0,0,0,0,0,0,1,1,1
AIBL,AVKR,AIB,AVK,Taxis,Lateral,3,3,1,1,0,0,0,0,0,0,0,1,0
AVKR,AIBL,AIB,AVK,Lateral,Taxis,3,3,1,2,0,0,0,0,2,0,0,0,0
AIBL,AIAL,AIB,AIA,Taxis,Taxis,3,2,1,3,0,0,0,0,0,0,1,1,1
AIAL,AIBL,AIB,AIA,Taxis,Taxis,2,3,3,18,2,2,2,2,2,2,2,2,2
AIBL,AFDL,AIB,AFD,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
AFDL,AIBL,AIB,AFD,Taxis,Taxis,1,3,1,2,0,0,1,0,0,0,0,0,1
AIBL,SMDDR,AIB,SMD,Taxis,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDR,AIBL,AIB,SMD,Lateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AIBL,ASEL,AIB,ASE,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ASEL,AIBL,AIB,ASE,Taxis,Taxis,1,3,3,18,2,2,2,2,2,2,2,2,2
AIBL,RIBR,AIB,RIB,Taxis,Taxis,3,3,3,18,2,2,2,2,2,2,2,2,2
RIBR,AIBL,AIB,RIB,Taxis,Taxis,3,3,2,15,1,1,1,2,2,2,2,2,2
AIBL,ASGL,AIB,ASG,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ASGL,AIBL,AIB,ASG,Taxis,Taxis,1,3,2,13,0,1,1,1,2,2,2,2,2
AIBL,RIMR,AIB,RIM,Taxis,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
RIMR,AIBL,AIB,RIM,Lateral,Taxis,3,3,3,17,1,2,2,2,2,2,2,2,2
RMDDL,AVER,RMD,AVE,Anterior,Anterior,3,3,1,1,0,0,0,0,0,0,0,0,1
AVER,RMDDL,RMD,AVE,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDDL,RMDR,RMD,RMD,Anterior,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDR,RMDDL,RMD,RMD,Unclassified,Anterior,3,3,2,14,1,2,2,2,0,2,1,2,2
RMDDL,OLLL,RMD,OLL,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
OLLL,RMDDL,RMD,OLL,Anterior,Anterior,1,3,2,14,0,0,2,2,2,2,2,2,2
RMDDL,IL1L,RMD,IL1,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
IL1L,RMDDL,RMD,IL1,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
RMDDL,RIAR,RMD,RIA,Anterior,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RIAR,RMDDL,RMD,RIA,Anterior,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDDL,RMEV,RMD,RME,Anterior,Anterior,3,3,2,4,0,0,0,0,0,0,1,2,1
RMEV,RMDDL,RMD,RME,Anterior,Anterior,3,3,2,14,2,2,2,2,2,1,0,1,2
RMDDL,RMDL,RMD,RMD,Anterior,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDL,RMDDL,RMD,RMD,Unclassified,Anterior,3,3,1,8,1,1,1,0,2,1,1,1,0
RMDDL,SIADL,RMD,SIA,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,RMDDL,RMD,SIA,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDDL,RMDDR,RMD,RMD,Anterior,Anterior,3,3,1,5,0,0,0,0,2,1,0,1,1
RMDDR,RMDDL,RMD,RMD,Anterior,Anterior,3,3,1,5,0,0,0,0,2,1,0,1,1
RMDDL,IL1R,RMD,IL1,Anterior,Anterior,3,1,1,3,0,0,0,0,1,0,1,0,1
IL1R,RMDDL,RMD,IL1,Anterior,Anterior,1,3,2,11,0,0,2,1,2,2,1,2,1
RMDL,RMDR,RMD,RMD,Unclassified,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDR,RMDL,RMD,RMD,Unclassified,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDL,SMDVL,RMD,SMD,Unclassified,Lateral,3,3,1,2,0,0,0,0,1,0,0,1,0
SMDVL,RMDL,RMD,SMD,Lateral,Unclassified,3,3,1,1,0,0,0,0,1,0,0,0,0
RMDL,RIS,RMD,RIS,Unclassified,Lateral,3,3,1,3,0,0,0,0,0,0,1,0,2
RIS,RMDL,RMD,RIS,Lateral,Unclassified,3,3,2,13,0,1,2,1,1,2,2,2,2
RMDL,IL1L,RMD,IL1,Unclassified,Anterior,3,1,1,1,0,0,0,0,0,0,0,0,1
IL1L,RMDL,RMD,IL1,Anterior,Unclassified,1,3,2,14,0,2,2,2,1,2,2,2,1
RMDL,RIAR,RMD,RIA,Unclassified,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RIAR,RMDL,RMD,RIA,Anterior,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDL,CEPVL,RMD,CEP,Unclassified,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
CEPVL,RMDL,RMD,CEP,Anterior,Unclassified,1,3,1,2,0,0,0,0,0,1,0,1,0
RMDL,SMDDR,RMD,SMD,Unclassified,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
SMDDR,RMDL,RMD,SMD,Lateral,Unclassified,3,3,1,9,1,0,1,1,1,2,0,2,1
RMDL,RIBR,RMD,RIB,Unclassified,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
RIBR,RMDL,RMD,RIB,Taxis,Unclassified,3,3,1,5,0,0,0,0,2,0,0,2,1
RMDL,RMGR,RMD,RMG,Unclassified,Sublateral,3,3,1,7,0,2,1,0,1,1,1,0,1
RMGR,RMDL,RMD,RMG,Sublateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDL,RIMR,RMD,RIM,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIMR,RMDL,RMD,RIM,Lateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
RMDL,SIADL,RMD,SIA,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,RMDL,RMD,SIA,Sublateral,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
RMDL,SIBDR,RMD,SIB,Unclassified,Sublateral,3,3,1,2,0,0,0,0,1,0,0,1,0
SIBDR,RMDL,RMD,SIB,Sublateral,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDL,CEPDL,RMD,CEP,Unclassified,Sublateral,3,1,0,0,0,0,0,0,0,0,0,0,0
CEPDL,RMDL,RMD,CEP,Sublateral,Unclassified,1,3,1,1,0,0,0,0,0,0,0,0,1
RMDL,RMDDR,RMD,RMD,Unclassified,Anterior,3,3,2,14,1,2,2,2,0,2,1,2,2
RMDDR,RMDL,RMD,RMD,Anterior,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDL,SIAVR,RMD,SIA,Unclassified,Sublateral,3,3,1,2,0,0,0,0,1,0,0,0,1
SIAVR,RMDL,RMD,SIA,Sublateral,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
RMDL,IL1R,RMD,IL1,Unclassified,Anterior,3,1,3,18,2,2,2,2,2,2,2,2,2
IL1R,RMDL,RMD,IL1,Anterior,Unclassified,1,3,2,8,0,0,0,0,1,1,2,2,2
SIADL,AVER,SIA,AVE,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
AVER,SIADL,SIA,AVE,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,ALMR,SIA,ALM,Sublateral,Avoidance,3,1,1,1,0,0,0,0,0,0,0,0,1
ALMR,SIADL,SIA,ALM,Avoidance,Sublateral,1,3,1,1,0,0,0,0,0,0,0,0,1
SIADL,RMDR,SIA,RMD,Sublateral,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDR,SIADL,SIA,RMD,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,SMDVL,SIA,SMD,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVL,SIADL,SIA,SMD,Lateral,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,AVKR,SIA,AVK,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVKR,SIADL,SIA,AVK,Lateral,Sublateral,3,3,1,5,0,0,0,1,0,0,1,2,1
SIADL,RMDDR,SIA,RMD,Sublateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMDDR,SIADL,SIA,RMD,Anterior,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVL,RIS,SMD,RIS,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,1,0
RIS,SMDVL,SMD,RIS,Lateral,Lateral,3,3,1,7,0,0,1,0,0,1,2,1,2
SMDVL,ADER,SMD,ADE,Lateral,Unclassified,3,1,0,0,0,0,0,0,0,0,0,0,0
ADER,SMDVL,SMD,ADE,Unclassified,Lateral,1,3,1,1,0,0,0,1,0,0,0,0,0
SMDVL,URYVR,SMD,URY,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYVR,SMDVL,SMD,URY,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDVL,SMDDR,SMD,SMD,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDR,SMDVL,SMD,SMD,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDVL,RIBR,SMD,RIB,Lateral,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
RIBR,SMDVL,SMD,RIB,Taxis,Lateral,3,3,2,15,0,2,1,2,2,2,2,2,2
SMDVL,RIAR,SMD,RIA,Lateral,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
RIAR,SMDVL,SMD,RIA,Anterior,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDVL,RIMR,SMD,RIM,Lateral,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
RIMR,SMDVL,SMD,RIM,Lateral,Lateral,3,3,2,15,2,2,0,2,2,2,2,2,1
SMDVL,OLLR,SMD,OLL,Lateral,Anterior,3,1,1,1,0,0,0,0,0,0,0,1,0
OLLR,SMDVL,SMD,OLL,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDVL,SIAVR,SMD,SIA,Lateral,Sublateral,3,3,1,1,0,0,0,0,0,0,1,0,0
SIAVR,SMDVL,SMD,SIA,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVL,RMEV,SMD,RME,Lateral,Anterior,3,3,1,1,0,0,0,0,0,0,0,0,1
RMEV,SMDVL,SMD,RME,Anterior,Lateral,3,3,2,15,1,2,2,2,1,2,2,2,1
SMDVL,CEPVR,SMD,CEP,Lateral,Anterior,3,1,1,8,1,1,0,0,1,1,1,1,2
CEPVR,SMDVL,SMD,CEP,Anterior,Lateral,1,3,2,10,1,1,2,2,0,0,1,2,1
AIML,AIAL,AIM,AIA,Taxis,Taxis,2,2,3,18,2,2,2,2,2,2,2,2,2
AIAL,AIML,AIM,AIA,Taxis,Taxis,2,2,1,1,0,0,0,0,0,0,0,0,1
AIML,PVQL,AIM,PVQ,Taxis,Taxis,2,2,1,2,0,0,1,0,0,0,0,0,1
PVQL,AIML,AIM,PVQ,Taxis,Taxis,2,2,2,11,0,1,2,0,2,2,2,1,1
AIML,ASJL,AIM,ASJ,Taxis,Taxis,2,1,2,12,2,2,0,1,0,2,2,1,2
ASJL,AIML,AIM,ASJ,Taxis,Taxis,1,2,1,1,0,0,1,0,0,0,0,0,0
AIML,ASGL,AIM,ASG,Taxis,Taxis,2,1,3,18,2,2,2,2,2,2,2,2,2
ASGL,AIML,AIM,ASG,Taxis,Taxis,1,2,2,13,2,2,2,2,2,0,2,1,0
AIML,AIMR,AIM,AIM,Taxis,Taxis,2,2,1,2,0,0,0,1,0,0,0,1,0
AIMR,AIML,AIM,AIM,Taxis,Taxis,2,2,1,2,0,0,0,1,0,0,0,1,0
AINL,ASEL,AIN,ASE,Taxis,Taxis,2,1,2,11,1,1,2,1,0,1,1,2,2
ASEL,AINL,AIN,ASE,Taxis,Taxis,1,2,1,2,0,0,0,0,1,0,0,1,0
AINL,AFDL,AIN,AFD,Taxis,Taxis,2,1,1,7,0,1,0,1,1,1,0,2,1
AFDL,AINL,AIN,AFD,Taxis,Taxis,1,2,0,0,0,0,0,0,0,0,0,0,0
AINL,AUAL,AIN,AUA,Taxis,Taxis,2,3,1,2,0,0,0,0,1,0,0,0,1
AUAL,AINL,AIN,AUA,Taxis,Taxis,3,2,1,1,0,0,0,0,0,0,0,0,1
AINL,AWCL,AIN,AWC,Taxis,Taxis,2,1,1,2,0,1,0,1,0,0,0,0,0
AWCL,AINL,AIN,AWC,Taxis,Taxis,1,2,1,1,0,0,0,0,1,0,0,0,0
AINL,AINR,AIN,AIN,Taxis,Taxis,2,2,1,4,0,1,0,0,0,1,0,1,1
AINR,AINL,AIN,AIN,Taxis,Taxis,2,2,1,4,0,1,0,0,0,1,0,1,1
AINL,AUAR,AIN,AUA,Taxis,Taxis,2,3,3,18,2,2,2,2,2,2,2,2,2
AUAR,AINL,AIN,AUA,Taxis,Taxis,3,2,2,3,0,0,0,0,0,0,0,2,1
AINL,BAGL,AIN,BAG,Taxis,Taxis,2,1,3,16,2,1,1,2,2,2,2,2,2
BAGL,AINL,AIN,BAG,Taxis,Taxis,1,2,1,3,0,0,1,0,1,0,0,0,1
AINL,AFDR,AIN,AFD,Taxis,Taxis,2,1,3,18,2,2,2,2,2,2,2,2,2
AFDR,AINL,AIN,AFD,Taxis,Taxis,1,2,1,2,0,0,0,0,0,0,0,1,1
AINL,RIBR,AIN,RIB,Taxis,Taxis,2,3,2,15,2,0,1,2,2,2,2,2,2
RIBR,AINL,AIN,RIB,Taxis,Taxis,3,2,1,1,0,0,0,0,0,0,0,0,1
AVER,AIZL,AVE,AIZ,Anterior,Taxis,3,3,1,1,0,0,0,0,0,0,1,0,0
AIZL,AVER,AVE,AIZ,Taxis,Anterior,3,3,3,18,2,2,2,2,2,2,2,2,2
AVER,RIBL,AVE,RIB,Anterior,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
RIBL,AVER,AVE,RIB,Taxis,Anterior,3,3,3,16,1,2,1,2,2,2,2,2,2
AVER,BAGL,AVE,BAG,Anterior,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
BAGL,AVER,AVE,BAG,Taxis,Anterior,1,3,2,15,1,2,0,2,2,2,2,2,2
AVER,CEPDL,AVE,CEP,Anterior,Sublateral,3,1,1,1,0,0,0,0,0,0,0,0,1
CEPDL,AVER,AVE,CEP,Sublateral,Anterior,1,3,3,17,1,2,2,2,2,2,2,2,2
AVER,CEPVL,AVE,CEP,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
CEPVL,AVER,AVE,CEP,Anterior,Anterior,1,3,3,17,2,2,1,2,2,2,2,2,2
AVER,OLLL,AVE,OLL,Anterior,Anterior,3,1,1,1,0,0,0,0,0,0,0,0,1
OLLL,AVER,AVE,OLL,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
RIGR,RIGL,RIG,RIG,Lateral,Lateral,3,3,1,1,0,0,0,0,0,1,0,0,0
RIGL,RIGR,RIG,RIG,Lateral,Lateral,3,3,1,1,0,0,0,0,0,1,0,0,0
RIGR,BAGL,RIG,BAG,Lateral,Taxis,3,1,3,18,2,2,2,2,2,2,2,2,2
BAGL,RIGR,RIG,BAG,Taxis,Lateral,1,3,2,16,0,2,2,2,2,2,2,2,2
SMBVR,AVHL,SMB,AVH,Sublateral,Avoidance,3,3,2,2,0,0,0,0,0,0,0,0,2
AVHL,SMBVR,SMB,AVH,Avoidance,Sublateral,3,3,2,11,0,1,0,1,2,1,2,2,2
RIS,RIBL,RIS,RIB,Lateral,Taxis,3,3,3,18,2,2,2,2,2,2,2,2,2
RIBL,RIS,RIS,RIB,Taxis,Lateral,3,3,2,15,1,2,2,2,1,1,2,2,2
RIS,CEPDL,RIS,CEP,Lateral,Sublateral,3,1,2,14,1,2,2,1,2,2,1,1,2
CEPDL,RIS,RIS,CEP,Sublateral,Lateral,1,3,1,3,0,0,0,0,0,1,0,1,1
RIS,CEPVL,RIS,CEP,Lateral,Anterior,3,1,3,18,2,2,2,2,2,2,2,2,2
CEPVL,RIS,RIS,CEP,Anterior,Lateral,1,3,0,0,0,0,0,0,0,0,0,0,0
RIS,RMEL,RIS,RME,Lateral,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RMEL,RIS,RIS,RME,Anterior,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVHL,ASHR,AVH,ASH,Avoidance,Avoidance,3,1,1,7,0,1,1,1,0,1,1,1,1
ASHR,AVHL,AVH,ASH,Avoidance,Avoidance,1,3,1,8,1,0,0,1,2,0,0,2,2
AVHL,AWBR,AVH,AWB,Avoidance,Taxis,3,1,2,13,0,2,1,2,2,1,1,2,2
AWBR,AVHL,AVH,AWB,Taxis,Avoidance,1,3,2,10,2,1,0,2,1,0,1,2,1
AVHL,ADFR,AVH,ADF,Avoidance,Taxis,3,1,3,16,1,2,2,2,2,2,2,2,1
ADFR,AVHL,AVH,ADF,Taxis,Avoidance,1,3,1,7,1,2,0,0,1,0,1,1,1
AVHL,RIR,AVH,RIR,Avoidance,Unclassified,3,3,2,13,0,0,2,1,2,2,2,2,2
RIR,AVHL,AVH,RIR,Unclassified,Avoidance,3,3,1,2,0,0,0,0,0,1,0,1,0
AVHL,PVPR,AVH,PVP,Avoidance,Avoidance,3,3,2,12,0,1,1,1,1,2,2,2,2
PVPR,AVHL,AVH,PVP,Avoidance,Avoidance,3,3,2,10,1,1,1,1,0,0,2,2,2
AIYR,AWCL,AIY,AWC,Taxis,Taxis,2,1,1,2,0,0,0,0,0,0,1,0,1
AWCL,AIYR,AIY,AWC,Taxis,Taxis,1,2,3,16,1,2,2,2,2,2,2,2,1
AIYR,BAGL,AIY,BAG,Taxis,Taxis,2,1,2,10,2,0,1,2,2,0,1,2,0
BAGL,AIYR,AIY,BAG,Taxis,Taxis,1,2,2,4,0,0,0,0,0,0,2,1,1
AIYR,ASEL,AIY,ASE,Taxis,Taxis,2,1,2,2,0,0,0,0,0,0,0,0,2
ASEL,AIYR,AIY,ASE,Taxis,Taxis,1,2,3,17,2,2,2,2,2,2,1,2,2
OLLL,IL1DL,OLL,IL1,Anterior,Anterior,1,1,1,4,0,0,0,0,0,1,0,2,1
IL1DL,OLLL,OLL,IL1,Anterior,Anterior,1,1,2,3,0,0,0,0,0,0,0,2,1
OLLL,RIBL,OLL,RIB,Anterior,Taxis,1,3,3,18,2,2,2,2,2,2,2,2,2
RIBL,OLLL,OLL,RIB,Taxis,Anterior,3,1,1,4,0,0,1,1,0,0,0,1,1
OLLL,RIGL,OLL,RIG,Anterior,Lateral,1,3,0,0,0,0,0,0,0,0,0,0,0
RIGL,OLLL,OLL,RIG,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
OLLL,IL1L,OLL,IL1,Anterior,Anterior,1,1,2,6,0,0,0,0,0,2,2,2,0
IL1L,OLLL,OLL,IL1,Anterior,Anterior,1,1,1,3,0,0,0,0,1,0,0,0,2
OLLL,SMDDR,OLL,SMD,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDDR,OLLL,OLL,SMD,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
OLLL,CEPVL,OLL,CEP,Anterior,Anterior,1,1,3,16,1,1,2,2,2,2,2,2,2
CEPVL,OLLL,OLL,CEP,Anterior,Anterior,1,1,3,18,2,2,2,2,2,2,2,2,2
OLLL,CEPDL,OLL,CEP,Anterior,Sublateral,1,1,3,17,2,2,1,2,2,2,2,2,2
CEPDL,OLLL,OLL,CEP,Sublateral,Anterior,1,1,3,18,2,2,2,2,2,2,2,2,2
OLLL,IL1VL,OLL,IL1,Anterior,Anterior,1,1,2,6,0,0,0,0,0,1,1,2,2
IL1VL,OLLL,OLL,IL1,Anterior,Anterior,1,1,1,1,0,0,0,0,0,0,0,0,1
OLLL,OLLR,OLL,OLL,Anterior,Anterior,1,1,0,0,0,0,0,0,0,0,0,0,0
OLLR,OLLL,OLL,OLL,Anterior,Anterior,1,1,0,0,0,0,0,0,0,0,0,0,0
OLLL,RMED,OLL,RMED,Anterior,Anterior,1,3,1,4,0,0,0,0,0,2,1,0,1
RMED,OLLL,OLL,RMED,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
